"Bug编号","所属产品","所属模块","所属项目","相关需求","相关任务","Bug标题","关键词","严重程度","优先级","Bug类型","操作系统","浏览器","重现步骤","Bug状态","截止日期","激活次数","是否确认","抄送给","由谁创建","创建日期","影响版本","指派给","指派日期","解决者","解决方案","解决版本","解决日期","由谁关闭","关闭日期","重复ID","相关Bug","相关用例","最后修改者","修改日期","附件"
"4178","AC-直播学生端(#10)","通用(#16)","AC_iPhone_2.0.0(#143)","","","iphone XR   预习视频后返回，我的课表页会显示出“哈弗百科”的界面，然后自动恢复","","4","4","代码错误","","","[步骤]
iphone XR   预习视频后返回，我的课表页会显示出“哈弗百科”的界面，然后自动恢复
[结果]
[期望]","已解决","0000-00-00","0","已确认",",","carriere.zhang","2019-01-12","AC_iphone2.0_1.12(#288)","carriere.zhang","2019-01-25","俞立荣","延期处理","","2019-01-25","","0000-00-00","0","","","俞立荣","2019-01-25","",""
"5924","AC-直播学生端(#10)","通用(#16)","AC_Windows_2.1.2(#203)","","","电脑端看回放过程中，到单词跟读环节时，点击左上角返回，再把回放打开时，下方进度条拖不动，显示语音评测时不允许拖动。","","3","2","","","","[步骤]
[结果]
[期望]","已解决","2019-04-01","1","已确认",",","丁亦强","2019-04-01","主干(#trunk)","丁亦强","2019-05-13","王财坡","已解决","主干(#trunk)","2019-05-13","","0000-00-00","0","","","王财坡","2019-05-13","94d8d083e43bb7b21e802261c37c672
",""
"5934","AC-直播学生端(#10)","通用(#16)","AC_iPad_2.1.2(#202)","","","用户使用iPad看回放加载不出来，看预习正常。用户号码：13941401109","","3","2","代码错误","","","[步骤]
[结果]
[期望]","已解决","2019-04-01","0","已确认",",","丁亦强","2019-04-01","主干(#trunk)","丁亦强","2019-04-08","龚慧超","已解决","AC 2.1.3 iPad 0329(#422)","2019-04-08","","0000-00-00","0","","","龚慧超","2019-04-08","42170b4bd529ba4e43beeb854883f33a
09e4fbf3ad27177728f3e3ec2face1e9
",""
"6037","AC-直播学生端(#10)","通用(#16)","AC_iPad_2.1.2(#202)","","","用户网络很好，上课过程中课件没有正常翻页，其他一切正常。用户号码：15882231855","","3","2","代码错误","","","[步骤]
[结果]
[期望]","已解决","2019-04-03","0","已确认",",","丁亦强","2019-04-03","主干(#trunk)","丁亦强","2019-05-30","黄浦","已解决","主干(#trunk)","2019-05-30","","0000-00-00","0","","","黄浦","2019-05-30","162eda96a69bb1661eee438c4e8fac03
14e10a0f563bc0f7cd556667d2779524
",""
"6062","AC-直播学生端(#10)","通用(#16)","AC_Android_2.1.2(#201)","","","用户跟读部分的时候的录音出现问题，跟用户声音不一致。用户号码:17622791958，13502138676，18106058772","","3","1","","","","[步骤]
[结果]
[期望]","已解决","2019-04-07","0","已确认","","丁亦强","2019-04-07","主干(#trunk)","丁亦强","2019-06-12","盛锋","已解决","主干(#trunk)","2019-06-12","","0000-00-00","0","","","盛锋","2019-06-12","157006-073814-live-copilot-0.0-Android
157006-074233-live-air_traffic_controller-0.65-Android
157006-074653-live-flight_attendant-0.3-Android
423CCBD2-2F6C-4093-B389-A5446F11D4CE
445E2D1D-99F8-4a9f-BD74-FC429F6EEC88
C4F30487-527D-4f13-8BD6-6E191D879F5A
",""
"6288","AC-直播学生端(#10)","通用(#16)","AC_iPhone_2.1.2(#200)","","","用户上课过程中不能自动翻页，卡住了。用户号码：13990860997，13550589009","","3","1","代码错误","","","[步骤]
[结果]
[期望]","已解决","2019-04-11","0","已确认","龚慧超,王宗禹,黄浦,蔡林锋,","丁亦强","2019-04-11","主干(#trunk)","丁亦强","2019-05-10","黄浦","延期处理","主干(#trunk)","2019-05-10","","0000-00-00","0","","","黄浦","2019-05-10","号码：13990860997
13550589009
13550589009（1）
949FFC61-7BA1-4fdd-BB85-D8A7568C4CF4
a071d04c5da926f64788445bd5eb07b
",""
"6372","AC-直播学生端(#10)","通用(#16)","AC_Windows_2.2.0(#229)","","","PC端首页弹窗优化项----上课的弹窗优先级问题","","4","4","代码错误","","","[步骤]前置条件：当前等级用户有一节课正在上课中，当前用户未检测，步骤：首次登录到PC端首页，检测弹窗未关闭，结果：未弹出上课的弹窗，需要将当前课次滑到中间才会弹出
[结果]
[期望]上课弹窗优先等级高于设备检测窗口。","已解决","0000-00-00","0","已确认",",","胡春霞","2019-04-15","主干(#trunk)","胡春霞","2019-10-10","王财坡","不予解决","","2019-10-10","","0000-00-00","0","","","王财坡","2019-10-10","",""
"6575","AC-直播学生端(#10)","通用(#16)","AC_iPad_2.2.0(#228)","","","用户上课过程中老师声音很小，游戏环节课件的声音都比老师的声音大，从4月15号开始的。用户号码：13504991982","","3","1","","","","[步骤]
[结果]
[期望]","已解决","2019-04-18","0","已确认","","丁亦强","2019-04-18","主干(#trunk)","丁亦强","2019-05-06","龚慧超","已解决","AC iPad 2.3.0 0503(#583)","2019-05-06","","0000-00-00","0","","","龚慧超","2019-05-06","1e8bf0c9247fd5b682a341bc3d04daa1
34b755e9c872a76b25e0790478c24468
84d5dad7221e0b7304b0ad0644277112
662eb3aa1593d32bbc2c22f40c455738
3182b2e8f4ed8dabe78d82c9a6206f08
7460e1f252157d0210ca767acb863133
48578f8cceb75a6fa0630088f8d74165
bf525fe732e5292e7e8b195d135b7b93
",""
"6615","AC-直播学生端(#10)","通用(#16)","问题反馈(#210)","","","4月19日晚上19:30开始，陆续有用户反馈收不到验证码","","3","2","代码错误","","","用户手机号13702002959、13910941164、13651654334、13636383417、13904161018
反馈人：冯先

","已解决","0000-00-00","0","已确认",",","吴婕","2019-04-19","主干(#trunk)","吴婕","2019-04-23","黄浦","外部原因","主干(#trunk)","2019-04-23","","0000-00-00","0","","","黄浦","2019-04-23","",""
"6796","AC-直播学生端(#10)","通用(#16)","问题反馈(#210)","","","用户上课老师声音特别小，其他声音正常。","","3","","代码错误","","","[步骤] 13504991982 ipad上课老师声音很小4月14日左右开始出现这个问题，预习和复习声音正常，刷新会有一下恢复正常，切换网络 重新安装都有试过无效


[结果]
[期望]反馈人：马井泉","已解决","0000-00-00","0","已确认",",","吴婕","2019-04-24","主干(#trunk)","吴婕","2020-01-02","赵礼彬","无法重现","","2020-01-02","","0000-00-00","0","","","赵礼彬","2020-01-02","2
",""
"6826","AC-直播学生端(#10)","通用(#16)","AC_Android_2.3.0(#243)","","","（偶现）作业捕鱼系统语音播放不全","","3","","代码错误","","","[步骤]
[结果]
[期望]","已解决","0000-00-00","0","已确认",",","camel.bai","2019-04-24","主干(#trunk)","camel.bai","2019-05-30","王宗禹","已解决","主干(#trunk)","2019-05-30","","0000-00-00","0","","","王宗禹","2019-05-30","",""
"6957","AC-直播学生端(#10)","通用(#16)","AC_Windows_2.2.0(#229)","","","电脑端做作业时经常会卡住。用户号码：15353513152","","3","1","","","","[步骤]
[结果]
[期望]","已解决","2019-04-28","0","已确认",",","丁亦强","2019-04-28","主干(#trunk)","丁亦强","2019-05-07","王财坡","已解决","win_5.6(#586)","2019-05-07","","0000-00-00","0","","","王财坡","2019-05-07","微信图片_20190428161015
d62b7c060a355970874d9f5f2b3c19c3
",""
"6977","AC-直播学生端(#10)","通用(#16)","问题反馈(#210)","","","iPad登录异常","","3","","","","","用户：17354721090
问题：首次登录时，提示短信次数超过上限。在此之前，用户手机没有收到过任何验证码。已经查过当天申请获取短信的记录。
按照一分钟一条，一小时5条，一天10条的设计，此用户应该没有超过当天短信发送上限。
目前判断用户遇到2个问题：1.收不到短信验证码；2.系统误判短信验证码申请超上限。
设备：iPad
反馈人：邵吉Lay

","已解决","0000-00-00","0","已确认",",","吴婕","2019-04-29","主干(#trunk)","吴婕","2019-04-30","黄浦","已解决","主干(#trunk)","2019-04-30","","0000-00-00","0","","","黄浦","2019-04-30","",""
"7008","AC-直播学生端(#10)","通用(#16)","AC_Windows_2.3.0(#244)","","","错误信息提示问题","","4","3","代码错误","","","[步骤]后台数据未配置的情况下或别的异常问题时，期望客户端能给出错误反馈信息
[结果]
[期望]","已解决","0000-00-00","0","已确认",",","胡春霞","2019-04-30","主干(#trunk)","胡春霞","2019-08-20","姜文乐","延期处理","","2019-08-20","","0000-00-00","0","","","姜文乐","2019-08-20","",""
"7011","AC-直播学生端(#10)","通用(#16)","问题反馈(#210)","","","用户上课老师声音特别小，其他声音正常","","2","1","代码错误","","","[步骤]13902432581  ipad pro上课  4月22号上课期间老师声音小 24号出现老师声音直接消失，现在到今天还是声音非常小 预习回放声音正常  13505837020 ipad pro上课  23号左右开始出现老师声音非常小的情况 其余声音正常 两个用户都尝试过卸载重新安装 重启ipad 切换网络的方法 无效。 
[结果] 
[期望]反馈人：马井泉","已解决","0000-00-00","0","已确认",",","吴婕","2019-04-30","主干(#trunk)","吴婕","2019-05-06","龚慧超","已解决","AC iPad 2.3.0 0503(#583)","2019-05-06","","0000-00-00","0","","","龚慧超","2019-05-06","111
",""
"7200","AC-直播学生端(#10)","通用(#16)","","","","说一说作业，单词拆分后，拆分部分颜色判断问题","","3","2","代码错误","","","[步骤][结果][期望]","已解决","0000-00-00","0","已确认",",","camel.bai","2019-05-09","主干(#trunk)","camel.bai","2019-07-05","钟善章","已解决","主干(#trunk)","2019-07-05","","0000-00-00","0","","","钟善章","2019-07-05","",""
"7470","AC-直播学生端(#10)","通用(#16)","AC_Android_2.4.0(#259)","","","用户进入学习页和我的页面报错sever error","","2","2","代码错误","","","[步骤]
[结果]
[期望]","已解决","0000-00-00","0","已确认",",","camel.bai","2019-05-15","主干(#trunk)","camel.bai","2019-05-17","黄浦","已解决","主干(#trunk)","2019-05-17","","0000-00-00","0","","","黄浦","2019-05-17","",""
"7523","AC-直播学生端(#10)","通用(#16)","AC_Windows_2.4.0(#260)","","","预发环境-首页数据未实时更新问题","","4","4","代码错误","","","[步骤]前置条件：当前课程已经结束，首页显示正在上课中，点击进入教室-toast提示该课程已结束
          需要点击课表页返回后刷新
[结果]
[期望]可以实时更新","已解决","0000-00-00","1","已确认",",","胡春霞","2019-05-17","主干(#trunk)","胡春霞","2019-12-09","王财坡","不予解决","","2019-12-09","","0000-00-00","0","","","王财坡","2019-12-09","",""
"7534","AC-直播学生端(#10)","通用(#16)","AC_Windows_2.4.0(#260)","","","后台更换老师后，刷新页面的处理逻辑问题","","4","4","代码错误","","","[步骤]
[结果]
[期望]自动刷新","已解决","0000-00-00","0","已确认","王和鑫,","胡春霞","2019-05-18","主干(#trunk)","胡春霞","2019-10-10","王财坡","不予解决","","2019-10-10","","0000-00-00","0","","","王财坡","2019-10-10","",""
"7538","AC-直播学生端(#10)","通用(#16)","","","","APP购课页选择套餐后无法进入订单页","","1","1","代码错误","","","[步骤][结果][期望]","已解决","0000-00-00","0","已确认",",","camel.bai","2019-05-20","主干(#trunk)","camel.bai","2019-05-20","杨庆磊","外部原因","主干(#trunk)","2019-05-20","","0000-00-00","0","","","杨庆磊","2019-05-20","",""
"7569","AC-直播学生端(#10)","通用(#16)","问题反馈(#210)","","","13699797503用户在课件上选择答案没有反应","","3","","代码错误","","","[步骤]13699797503 五月二十日使用ipad上课期间 选择题目没有反应
[结果]
[期望]反馈人：马井泉","已解决","0000-00-00","0","已确认",",","吴婕","2019-05-20","主干(#trunk)","吴婕","2019-05-22","王宗禹","重复Bug","主干(#trunk)","2019-05-22","","0000-00-00","用户老鼠吃奶酪环节需要点击多次才能点上，其他游戏环节正常。用户号码13116022376(7536)","","","王宗禹","2019-05-22","efdebdb09eb3799a28417f76e3bf6b7b
",""
"7572","AC-直播学生端(#10)","线上问题反馈(#247)","AC_iPad_2.4.0(#258)","","","iPad，爱课更新到最新版之后，老师声音恢复正常，但是后半节的时候突然提示无法从麦克风回去摄像头获取数据，就退出教室，再次进入教室声音又变小了。用户号码：17513220775","","3","1","","","","[步骤]
[结果]
[期望]","已解决","2019-04-05","0","已确认",",","丁亦强","2019-05-20","主干(#trunk)","丁亦强","2019-07-11","赵礼彬","无法重现","主干(#trunk)","2019-07-11","","0000-00-00","0","","","赵礼彬","2019-07-11","",""
"7843","AC-直播学生端(#10)","线上问题反馈(#247)","AC_Android_2.3.0(#243)","","","用户跟读环节分数低，查录音，发现录音声音拉长。用户号码：18975804022","","3","1","","","","[步骤]
[结果]
[期望]","已解决","2019-05-27","0","已确认",",","丁亦强","2019-05-27","主干(#trunk)","丁亦强","2019-06-12","盛锋","已解决","主干(#trunk)","2019-06-12","","0000-00-00","0","","","盛锋","2019-06-12","",""
"7920","AC-直播学生端(#10)","线上问题反馈(#247)","AC_Windows_2.4.0(#260)","","","用户电脑端上课点击泡泡没有读单词，做作业的时候，小喇叭也没有声音，但是小汽车走过的声音，射箭的声音和放烟花的声音是有的。用户号码：13879949401","","3","1","","","","[步骤]
[结果]
[期望]","已解决","2019-05-28","1","已确认",",","丁亦强","2019-05-28","主干(#trunk)","丁亦强","2019-06-10","曾扬平","已解决","主干(#trunk)","2019-06-10","","0000-00-00","0","","","曾扬平","2019-06-10","0f8d5bd4cd7759cf28736ca7b3a4b425
82615ec4ac41d669277ee96848ed75eb
log(2)
没有音频
",""
"8020","AC-直播学生端(#10)","线上问题反馈(#247)","AC_iPad_2.4.0(#258)","","","用户点击进入教室直接闪退。用户号码：13808877167，15918833065","","3","1","","","","[步骤]
[结果]
[期望]","已解决","2019-05-30","0","已确认",",","丁亦强","2019-05-30","主干(#trunk)","丁亦强","2019-06-04","俞立荣","外部原因","AC_iPhone_2.5.0_5.31(#651)","2019-06-04","","0000-00-00","0","","","俞立荣","2019-06-04","13808877167
15918833065
看回放闪退
",""
"8060","AC-直播学生端(#10)","线上问题反馈(#247)","AC_iPad_2.4.0(#258)","","","用户上课一颗钻石也没有，日志查不到获得的钻石情况，而且日志上显示的enname与crm查到的页不一致。用户号码：13622222040","","3","1","代码错误","","","[步骤]
[结果]
[期望]","已解决","2019-06-02","0","已确认",",","丁亦强","2019-06-02","主干(#trunk)","丁亦强","2019-07-29","王宗禹","无法重现","主干(#trunk)","2019-07-29","","0000-00-00","0","","","王宗禹","2019-07-29","21ECB6E0-1316-422E-9AEA-DC2AF786B763.log
",""
"8079","AC-直播学生端(#10)","通用(#16)","AC_Windows_2.5.0(#279)","","","预发环境-监课查询--教学页空白问题（偶现）","","3","3","代码错误","","","[步骤]
[结果]
[期望]","已解决","0000-00-00","0","已确认",",","胡春霞","2019-06-03","主干(#trunk)","胡春霞","2019-10-10","王财坡","不予解决","","2019-10-10","","0000-00-00","0","","","王财坡","2019-10-10","",""
"8103","AC-直播学生端(#10)","线上问题反馈(#247)","AC_iPad_2.4.0(#258)","","","用户iPad下载手机版的分数很低，用户号码：13429688595 ","","3","1","代码错误","","","[步骤]
[结果]
[期望]","已解决","2019-06-03","0","已确认",",","丁亦强","2019-06-03","主干(#trunk)","丁亦强","2019-06-06","赵礼彬","重复Bug","主干(#trunk)","2019-06-06","","0000-00-00","单词跟读一分都没有，用户号码：17721990558(8108)","","","赵礼彬","2019-06-06","",""
